user_prompt,url_to_check,func_rating,custom_rating
"I am an international student studying in usa, can I work in this country ?",https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,2,4
Is it okay to drink milk at night or not ?,https://www.healthline.com/nutrition/drinking-milk-before-bed,2,3
What are the rules to become an IAS officer?,"https://testbook.com/ias-preparation/how-to-become-an-ias-officer#:~:text=A%20candidate%20must%20have%20a,qualified%20to%20take%20this%20exam.",2,4
What is the right time to give solids to baby?,"https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/healthy-baby/art-20046200#:~:text=Many%20health%20agencies%20and%20healthcare,of%20breast%20milk%20or%20formula.",3,3
What are the highest paying jobs in India? ,https://www.simplilearn.com/highest-paying-jobs-in-india-article,2,3
I am having covid-19? What precautions should I take?,https://disease.education/covid?utm_medium=paidsearch&utm_source=google&utm_campaign=second_dose&utm_term=se&utm_content=search_non-branded&gad_source=1&gclid=Cj0KCQiA_NC9BhCkARIsABSnSTaWVEnJe65Jbb5RY7ayj1cum5tK-_vmx7lV_9ArWBgEN8GnaDUQnCYaAsMmEALw_wcB,4,4
What is the difference while taking hot showers and cold showers?,https://www.webmd.com/sleep-disorders/benefits-of-cold-vs-hot-shower,2,3
Should I directly take my dinner post workout?,https://www.mayoclinic.org/healthy-lifestyle/fitness/in-depth/exercise/art-20045506,3,3
How to become a data scientist after taking bachleors in electrical engineering?,https://learn.easternct.edu/general/?utm_source=google&utm_medium=cpc&utm_campaign=eastern_data_science&src=g.search&gad_source=1&gclid=Cj0KCQiA_NC9BhCkARIsABSnSTZzjv9rpSpYuotQ7I4js_VKKzaY1F5l9ax4Y_OY18liVE4MCB7j5pAaAsYNEALw_wcB,2,2
AI advancement in 2025,https://www.accenture.com/us-en/insights/consulting/total-enterprise-reinvention?c=acn_glb_totalenterprisegoogle_14073334&n=psgs_0124&&&&&gad_source=1&gclid=Cj0KCQiA_NC9BhCkARIsABSnSTZjsVxviX4v-7X4HF4QGBmoewbVwFAFTDzBCRTUMG5E4c3ROyix2YoaAq-9EALw_wcB&gclsrc=aw.ds,3,4
